1-1,1-2,1-3,1-4,2-1,2-2,2-3,2-4,3-1,3-2,3-3,3-4,4-1,4-2,4-3,4-4,action,reward,next 1-1,next 1-2,next 1-3,next 1-4,next 2-1,next 2-2,next 2-3,next 2-4,next 3-1,next 3-2,next 3-3,next 3-4,next 4-1,next 4-2,next 4-3,next 4-4,done
2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0.000000,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,0
0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,0,1,4.000000,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,4,0
0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,4,1,4.000000,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,4,0
0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,4,0,8.000000,0,2,0,8,0,2,0,0,0,0,0,0,0,0,0,0,0
0,2,0,8,0,2,0,0,0,0,0,0,0,0,0,0,2,4.000000,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,8,0
0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,8,3,0.000000,0,0,0,0,2,0,2,0,0,0,0,0,4,8,0,0,0
0,0,0,0,2,0,2,0,0,0,0,0,4,8,0,0,3,4.000000,0,0,0,2,4,0,0,0,0,0,0,0,4,8,0,0,0
0,0,0,2,4,0,0,0,0,0,0,0,4,8,0,0,2,8.000000,0,0,0,0,0,0,0,0,0,2,0,0,8,8,0,2,0
0,0,0,0,0,0,0,0,0,2,0,0,8,8,0,2,3,16.000000,0,0,0,2,0,0,0,0,2,0,0,0,16,2,0,0,0
0,0,0,2,0,0,0,0,2,0,0,0,16,2,0,0,0,0.000000,2,2,0,2,16,2,0,0,0,0,0,0,0,0,0,0,0
2,2,0,2,16,2,0,0,0,0,0,0,0,0,0,0,1,4.000000,0,0,2,4,0,0,16,2,0,0,0,0,0,0,2,0,0
0,0,2,4,0,0,16,2,0,0,0,0,0,0,2,0,2,0.000000,0,2,0,0,0,0,2,0,0,0,16,4,0,0,2,2,0
0,2,0,0,0,0,2,0,0,0,16,4,0,0,2,2,1,4.000000,0,2,0,2,0,0,0,2,0,0,16,4,0,0,0,4,0
0,2,0,2,0,0,0,2,0,0,16,4,0,0,0,4,2,12.000000,0,0,0,0,0,0,2,0,0,0,0,4,0,2,16,8,0
0,0,0,0,0,0,2,0,0,0,0,4,0,2,16,8,0,0.000000,0,2,2,4,0,0,16,8,0,0,0,0,0,0,0,2,0
0,2,2,4,0,0,16,8,0,0,0,0,0,0,0,2,1,4.000000,0,0,4,4,0,0,16,8,0,0,2,0,0,0,0,2,0
0,0,4,4,0,0,16,8,0,0,2,0,0,0,0,2,1,8.000000,0,0,2,8,0,0,16,8,0,0,0,2,0,0,0,2,0
0,0,2,8,0,0,16,8,0,0,0,2,0,0,0,2,2,20.000000,2,0,0,0,0,0,0,0,0,0,2,16,0,0,16,4,0
2,0,0,0,0,0,0,0,0,0,2,16,0,0,16,4,0,0.000000,2,0,2,16,0,0,16,4,0,0,2,0,0,0,0,0,0
2,0,2,16,0,0,16,4,0,0,2,0,0,0,0,0,3,4.000000,4,16,0,0,16,4,0,2,2,0,0,0,0,0,0,0,0
4,16,0,0,16,4,0,2,2,0,0,0,0,0,0,0,2,0.000000,0,0,0,0,4,0,0,0,16,16,0,2,2,4,0,2,0
0,0,0,0,4,0,0,0,16,16,0,2,2,4,0,2,2,4.000000,0,0,0,2,4,0,0,0,16,16,0,0,2,4,0,4,0
0,0,0,2,4,0,0,0,16,16,0,0,2,4,0,4,1,40.000000,0,0,2,2,0,0,0,4,0,0,0,32,0,0,2,8,0
0,0,2,2,0,0,0,4,0,0,0,32,0,0,2,8,3,4.000000,4,0,0,0,4,0,0,0,32,2,0,0,2,8,0,0,0
4,0,0,0,4,0,0,0,32,2,0,0,2,8,0,0,2,8.000000,0,0,0,0,8,0,0,0,32,2,0,0,2,8,0,2,0
0,0,0,0,8,0,0,0,32,2,0,0,2,8,0,2,0,0.000000,8,2,0,2,32,8,0,0,2,0,4,0,0,0,0,0,0
8,2,0,2,32,8,0,0,2,0,4,0,0,0,0,0,1,4.000000,0,0,8,4,0,0,32,8,0,0,2,4,0,2,0,0,0
0,0,8,4,0,0,32,8,0,0,2,4,0,2,0,0,2,0.000000,0,2,0,0,0,0,8,4,0,0,32,8,0,2,2,4,0
0,2,0,0,0,0,8,4,0,0,32,8,0,2,2,4,3,4.000000,2,0,0,0,8,4,0,2,32,8,0,0,4,4,0,0,0
2,0,0,0,8,4,0,2,32,8,0,0,4,4,0,0,1,8.000000,0,0,0,2,0,8,4,2,0,2,32,8,0,0,0,8,0
0,0,0,2,0,8,4,2,0,2,32,8,0,0,0,8,2,20.000000,0,0,0,0,0,0,2,0,0,8,4,4,0,2,32,16,0
0,0,0,0,0,0,2,0,0,8,4,4,0,2,32,16,1,8.000000,0,0,0,0,0,2,0,2,0,0,8,8,0,2,32,16,0
0,0,0,0,0,2,0,2,0,0,8,8,0,2,32,16,1,20.000000,0,0,0,0,2,0,0,4,0,0,0,16,0,2,32,16,0
0,0,0,0,2,0,0,4,0,0,0,16,0,2,32,16,2,32.000000,0,0,0,0,0,2,0,0,0,0,0,4,2,2,32,32,0
0,0,0,0,0,2,0,0,0,0,0,4,2,2,32,32,3,68.000000,2,0,0,0,2,0,0,0,4,0,0,0,4,64,0,0,0
2,0,0,0,2,0,0,0,4,0,0,0,4,64,0,0,2,12.000000,0,0,0,0,0,0,0,0,4,2,0,0,8,64,0,0,0
0,0,0,0,0,0,0,0,4,2,0,0,8,64,0,0,1,0.000000,0,0,0,0,0,0,0,0,0,0,4,2,0,2,8,64,0
0,0,0,0,0,0,0,0,0,0,4,2,0,2,8,64,0,0.000000,0,2,4,2,0,2,8,64,0,0,0,0,0,0,0,0,0
0,2,4,2,0,2,8,64,0,0,0,0,0,0,0,0,2,4.000000,0,4,0,0,0,0,0,0,0,0,4,2,0,4,8,64,0
0,4,0,0,0,0,0,0,0,0,4,2,0,4,8,64,0,8.000000,2,8,4,2,0,0,8,64,0,0,0,0,0,0,0,0,0
2,8,4,2,0,0,8,64,0,0,0,0,0,0,0,0,2,0.000000,2,0,0,0,0,0,0,0,0,0,4,2,2,8,8,64,0
2,0,0,0,0,0,0,0,0,0,4,2,2,8,8,64,0,4.000000,4,8,4,2,0,0,8,64,0,0,0,0,0,0,2,0,0
4,8,4,2,0,0,8,64,0,0,0,0,0,0,2,0,2,0.000000,0,0,2,0,0,0,4,0,0,0,8,2,4,8,2,64,0
0,0,2,0,0,0,4,0,0,0,8,2,4,8,2,64,3,0.000000,2,0,0,0,4,0,0,0,8,2,2,0,4,8,2,64,0
2,0,0,0,4,0,0,0,8,2,2,0,4,8,2,64,1,4.000000,2,0,0,2,0,0,0,4,0,0,8,4,4,8,2,64,0
2,0,0,2,0,0,0,4,0,0,8,4,4,8,2,64,2,8.000000,0,0,0,0,0,0,2,2,2,0,8,8,4,8,2,64,0
0,0,0,0,0,0,2,2,2,0,8,8,4,8,2,64,3,20.000000,0,0,0,0,4,0,2,0,2,16,0,0,4,8,2,64,0
0,0,0,0,4,0,2,0,2,16,0,0,4,8,2,64,2,4.000000,0,0,0,0,4,0,2,0,2,16,0,0,4,8,4,64,0
0,0,0,0,4,0,2,0,2,16,0,0,4,8,4,64,1,0.000000,0,0,0,0,0,0,4,2,2,0,2,16,4,8,4,64,0
0,0,0,0,0,0,4,2,2,0,2,16,4,8,4,64,0,0.000000,2,8,4,2,4,0,2,16,0,0,4,64,0,0,2,0,0
2,8,4,2,4,0,2,16,0,0,4,64,0,0,2,0,2,0.000000,0,0,4,2,0,0,2,2,2,0,4,16,4,8,2,64,0
0,0,4,2,0,0,2,2,2,0,4,16,4,8,2,64,2,4.000000,0,0,4,0,0,2,2,4,2,0,4,16,4,8,2,64,0
0,0,4,0,0,2,2,4,2,0,4,16,4,8,2,64,3,4.000000,4,0,0,0,4,4,0,0,2,4,16,2,4,8,2,64,0
4,0,0,0,4,4,0,0,2,4,16,2,4,8,2,64,1,8.000000,0,0,0,4,2,0,0,8,2,4,16,2,4,8,2,64,0
0,0,0,4,2,0,0,8,2,4,16,2,4,8,2,64,2,4.000000,0,0,2,4,0,0,0,8,4,4,16,2,4,8,2,64,0
0,0,2,4,0,0,0,8,4,4,16,2,4,8,2,64,1,8.000000,2,0,2,4,0,0,0,8,0,8,16,2,4,8,2,64,0
2,0,2,4,0,0,0,8,0,8,16,2,4,8,2,64,2,16.000000,0,0,2,4,0,0,2,8,2,0,16,2,4,16,2,64,0
0,0,2,4,0,0,2,8,2,0,16,2,4,16,2,64,0,4.000000,2,16,4,4,4,0,16,8,0,2,2,2,0,0,0,64,0
0,4,0,4,0,0,4,8,2,16,16,2,4,2,2,64,1,44.000000,0,2,0,8,0,0,4,8,0,2,32,2,0,4,4,64,0
0,2,0,8,0,0,4,8,0,2,32,2,0,4,4,64,2,20.000000,0,0,0,0,0,0,4,16,0,4,32,2,2,4,4,64,0
0,0,0,0,0,0,4,16,0,4,32,2,2,4,4,64,0,8.000000,2,8,4,16,0,0,32,2,0,0,4,64,0,0,2,0,0
2,8,4,16,0,0,32,2,0,0,4,64,0,0,2,0,3,0.000000,2,8,4,16,32,2,0,2,4,64,0,0,2,0,0,0,0
2,8,4,16,32,2,0,2,4,64,0,0,2,0,0,0,3,4.000000,2,8,4,16,32,4,0,0,4,64,0,0,2,0,2,0,0
2,8,4,16,32,4,0,0,4,64,0,0,2,0,2,0,2,0.000000,2,0,0,0,32,8,2,0,4,4,4,0,2,64,2,16,0
2,0,0,0,32,8,2,0,4,4,4,0,2,64,2,16,3,8.000000,2,0,0,0,32,8,2,2,8,4,0,0,2,64,2,16,0
2,2,0,0,32,8,0,0,8,4,0,2,2,64,4,16,1,4.000000,0,0,0,4,4,0,32,8,0,8,4,2,2,64,4,16,0
0,0,0,4,4,0,32,8,0,8,4,2,2,64,4,16,2,8.000000,0,0,0,4,2,0,0,8,4,8,32,2,2,64,8,16,0
0,0,0,4,2,0,0,8,4,8,32,2,2,64,8,16,0,0.000000,2,8,32,4,4,64,8,8,2,0,0,2,0,2,0,16,0
0,0,0,4,2,8,2,8,4,64,32,2,2,2,8,16,3,4.000000,4,2,0,0,2,8,2,8,4,64,32,2,4,8,16,0,0
2,2,0,0,4,8,2,0,2,64,32,8,8,8,16,2,3,20.000000,4,2,0,0,4,8,2,0,2,64,32,8,16,16,2,0,0
2,2,2,0,8,8,4,0,2,64,32,2,16,16,2,16,1,52.000000,2,0,2,4,0,0,16,4,2,64,32,2,0,32,2,16,0
0,0,2,0,0,2,16,8,2,64,32,2,4,32,2,16,1,0.000000,0,0,2,2,0,2,16,8,2,64,32,2,4,32,2,16,0
0,0,2,2,0,2,16,8,2,64,32,2,4,32,2,16,1,4.000000,0,0,0,4,4,2,16,8,2,64,32,2,4,32,2,16,0
0,0,0,4,4,2,16,8,2,64,32,2,4,32,2,16,3,0.000000,4,2,0,0,4,2,16,8,2,64,32,2,4,32,2,16,0
0,0,0,0,0,0,0,0,2,2,0,4,4,4,4,2,3,12.000000,0,0,0,0,0,0,2,0,4,4,0,0,8,4,2,0,0
0,0,0,0,0,0,0,0,2,4,2,2,4,8,8,4,3,20.000000,0,2,0,0,0,0,0,0,2,4,4,0,4,16,4,0,0
0,0,0,0,0,2,0,0,2,4,2,0,4,16,8,0,3,0.000000,0,2,0,0,2,0,0,0,2,4,2,0,4,16,8,0,0
0,0,0,0,0,0,0,0,0,0,2,0,2,4,4,2,3,8.000000,0,0,0,0,0,0,0,0,2,0,2,0,2,8,2,0,0
0,0,0,0,0,0,0,0,0,0,0,0,4,8,4,2,0,0.000000,4,8,4,2,0,0,0,4,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,2,2,2,0,4,8,8,4,8,3,20.000000,0,2,0,0,2,0,0,0,4,4,0,0,16,4,8,0,0
0,0,0,0,2,0,0,0,4,4,0,0,16,8,8,2,3,24.000000,0,0,0,0,2,2,0,0,8,0,0,0,16,16,2,0,0
4,0,0,0,2,0,0,0,8,4,0,0,16,16,4,2,3,32.000000,4,2,0,0,2,0,0,0,8,4,0,0,32,4,2,0,0
4,0,0,0,2,0,0,0,8,2,2,4,32,8,4,2,3,4.000000,4,0,0,0,2,0,2,0,8,4,4,0,32,8,4,2,0
4,0,0,0,2,0,2,0,8,2,4,2,32,16,8,4,0,0.000000,4,2,2,2,2,16,4,4,8,0,8,0,32,0,2,0,0
4,2,2,0,2,4,4,4,8,8,8,2,32,16,2,8,3,28.000000,4,4,2,0,2,8,4,0,16,8,2,0,32,16,2,8,0
4,0,2,0,2,4,2,0,16,16,4,0,32,16,4,8,2,44.000000,4,0,2,0,2,0,0,0,16,4,4,0,32,32,8,8,0
4,0,0,0,2,0,2,0,16,4,4,2,32,32,8,8,3,92.000000,4,0,0,0,4,0,0,0,16,8,2,0,64,16,2,0,0
0,0,0,0,8,2,0,0,16,8,0,0,64,16,4,0,0,0.000000,8,2,4,0,16,8,0,2,64,16,0,0,0,0,0,0,0
0,0,0,0,8,2,0,0,16,8,0,2,64,16,4,4,3,8.000000,0,2,0,0,8,2,0,0,16,8,2,0,64,16,8,0,0
0,2,0,0,8,4,0,0,16,8,2,0,64,16,8,0,0,0.000000,8,2,2,0,16,4,8,2,64,8,0,0,0,16,0,0,0
2,2,0,0,8,4,0,0,16,8,4,0,64,16,8,2,1,4.000000,0,0,2,4,0,0,8,4,0,16,8,4,64,16,8,2,0
0,0,2,4,0,0,8,4,0,16,8,4,64,16,8,2,2,56.000000,0,0,0,2,0,0,2,4,0,0,8,8,64,32,16,2,0
0,0,0,2,0,0,2,4,0,0,8,8,64,32,16,2,3,16.000000,2,2,0,0,2,4,0,0,16,0,0,0,64,32,16,2,0
0,0,0,0,4,2,0,2,16,4,0,0,64,32,16,2,1,4.000000,0,0,0,0,0,0,4,4,2,0,16,4,64,32,16,2,0
0,0,0,0,0,2,0,0,4,0,4,8,64,32,32,2,3,72.000000,0,0,0,2,2,0,0,0,8,8,0,0,64,64,2,0,0
0,0,0,0,4,0,0,0,8,8,2,0,64,64,4,4,3,152.000000,0,0,0,0,4,2,0,0,16,2,0,0,128,8,0,0,0
2,0,0,0,4,0,0,0,16,4,0,0,128,8,0,0,0,0.000000,2,4,0,0,4,8,0,0,16,0,0,2,128,0,0,0,0
2,0,0,0,4,0,0,0,16,4,0,0,128,8,2,2,3,4.000000,2,0,0,0,4,2,0,0,16,4,0,0,128,8,4,0,0
2,0,0,0,4,2,0,0,16,4,0,0,128,8,4,0,0,0.000000,2,2,4,0,4,4,0,2,16,8,0,0,128,0,0,0,0
2,4,0,0,4,2,0,0,16,4,2,0,128,8,4,4,3,8.000000,2,4,0,0,4,2,0,2,16,4,2,0,128,8,8,0,0
2,4,0,0,4,2,0,2,16,4,2,0,128,8,8,0,3,20.000000,2,4,0,0,4,4,0,0,16,4,2,2,128,16,0,0,0
2,0,2,0,4,4,0,0,16,8,0,0,128,16,2,2,3,16.000000,4,2,0,0,8,0,0,0,16,8,0,0,128,16,4,0,0
4,2,0,0,8,0,0,0,16,8,0,0,128,16,4,0,0,0.000000,4,2,4,4,8,8,0,0,16,16,0,0,128,0,0,0,0
4,2,4,4,8,8,0,0,16,16,0,0,128,0,0,0,1,56.000000,0,4,2,8,0,0,0,16,0,2,0,32,0,0,0,128,0
0,4,2,8,0,0,0,16,0,2,0,32,0,0,0,128,3,0.000000,4,2,8,0,16,0,0,0,2,32,0,2,128,0,0,0,0
4,2,8,0,16,0,0,0,2,32,0,2,128,0,0,0,1,0.000000,0,4,2,8,0,0,2,16,0,2,32,2,0,0,0,128,0
0,0,0,8,0,0,2,16,0,4,4,2,0,2,32,128,1,8.000000,0,0,0,8,0,0,2,16,0,0,8,2,2,2,32,128,0
0,0,0,8,0,0,2,16,0,0,8,2,2,2,32,128,3,4.000000,8,0,0,0,2,16,0,0,8,2,4,0,4,32,128,0,0
8,0,0,0,2,16,0,0,8,2,4,0,4,32,128,0,1,0.000000,0,0,0,8,0,0,2,16,4,8,2,4,0,4,32,128,0
0,2,0,8,0,0,0,16,2,8,4,4,4,4,32,128,3,16.000000,2,8,0,0,16,0,0,0,2,8,8,2,8,32,128,0,0
2,8,0,0,16,0,0,0,2,8,8,2,8,32,128,0,0,16.000000,2,16,8,2,16,32,128,0,2,0,0,0,8,4,0,0,0
2,16,8,2,16,32,128,0,2,0,0,0,8,4,0,0,2,0.000000,2,0,0,2,16,16,0,0,2,32,8,0,8,4,128,2,0
2,0,0,2,16,16,0,0,2,32,8,0,8,4,128,2,3,36.000000,4,0,0,0,32,0,0,4,2,32,8,0,8,4,128,2,0
4,0,0,0,32,0,0,4,2,32,8,0,8,4,128,2,1,0.000000,0,0,0,4,0,0,32,4,2,2,32,8,8,4,128,2,0
0,0,0,4,0,0,32,4,2,2,32,8,8,4,128,2,2,72.000000,2,0,0,0,0,0,0,8,2,2,64,8,8,4,128,2,0
2,0,0,0,0,0,0,8,2,2,64,8,8,4,128,2,3,4.000000,2,0,2,0,8,0,0,0,4,64,8,0,8,4,128,2,0
2,0,2,0,8,0,0,0,4,64,8,0,8,4,128,2,1,4.000000,0,0,0,4,0,0,0,8,2,4,64,8,8,4,128,2,0
0,0,0,4,0,0,0,8,2,4,64,8,8,4,128,2,2,24.000000,2,0,0,0,0,0,0,4,2,0,64,16,8,8,128,2,0
2,0,0,0,0,0,0,4,2,0,64,16,8,8,128,2,1,16.000000,0,0,0,2,0,0,0,4,2,2,64,16,0,16,128,2,0
0,0,0,2,0,0,0,4,2,2,64,16,0,16,128,2,3,4.000000,2,0,0,0,4,0,0,2,4,64,16,0,16,128,2,0,0
0,0,0,0,2,2,0,2,8,64,16,4,16,128,2,2,3,8.000000,0,0,0,0,4,2,0,0,8,64,16,4,16,128,4,2,0
0,0,0,0,4,2,0,0,8,64,16,4,16,128,4,2,0,0.000000,4,2,16,4,8,64,4,2,16,128,0,0,2,0,0,0,0
4,0,2,0,8,2,4,0,16,64,16,4,2,128,4,2,0,0.000000,4,2,2,4,8,64,4,2,16,128,16,0,2,0,4,2,0
4,2,2,0,8,4,4,0,16,64,16,2,2,128,4,8,3,12.000000,4,4,0,0,8,8,2,0,16,64,16,2,2,128,4,8,0
4,4,0,0,8,8,2,0,16,64,16,2,2,128,4,8,3,24.000000,8,0,2,0,16,2,0,0,16,64,16,2,2,128,4,8,0
0,0,4,0,8,4,2,0,32,64,16,4,2,128,4,8,0,0.000000,8,4,4,4,32,64,2,8,2,128,16,0,2,0,4,0,0
8,4,4,4,32,64,2,8,2,128,16,0,2,0,4,0,3,8.000000,8,8,4,0,32,64,2,8,2,128,16,0,2,4,0,2,0
0,8,2,0,8,64,4,0,32,128,2,8,4,4,16,2,3,8.000000,8,2,0,0,8,64,4,0,32,128,2,8,8,16,2,2,0
0,2,2,0,16,64,0,0,32,128,4,8,8,16,4,2,3,4.000000,4,0,2,0,16,64,0,0,32,128,4,8,8,16,4,2,0
4,0,0,4,16,64,0,0,32,128,2,8,8,16,8,2,3,8.000000,8,0,2,0,16,64,0,0,32,128,2,8,8,16,8,2,0
8,0,0,0,16,64,0,2,32,128,4,8,8,16,8,2,0,0.000000,8,64,4,2,16,128,8,8,32,16,0,2,8,2,0,0,0
8,64,0,2,16,128,2,4,32,16,8,8,8,2,16,2,3,16.000000,8,64,2,0,16,128,2,4,32,16,16,2,8,2,16,2,0
8,64,2,0,16,128,4,0,32,16,8,4,8,2,32,8,0,0.000000,8,64,2,4,16,128,4,8,32,16,8,2,8,2,32,0,0
8,64,2,2,16,128,4,4,32,16,8,8,8,2,32,2,3,28.000000,8,64,4,2,16,128,8,0,32,16,16,0,8,2,32,2,0
8,64,4,0,16,128,8,2,32,16,16,4,8,2,32,16,3,32.000000,8,64,4,2,16,128,8,2,32,32,4,0,8,2,32,16,0
8,64,4,2,16,128,8,4,32,32,4,8,8,2,32,16,3,64.000000,8,64,4,2,16,128,8,4,64,4,8,2,8,2,32,16,0
8,64,2,2,16,128,8,4,64,4,16,2,8,2,32,16,3,4.000000,8,64,4,4,16,128,8,4,64,4,16,2,8,2,32,16,0
8,64,4,2,16,128,8,8,64,4,16,2,8,2,32,16,3,16.000000,8,64,4,2,16,128,16,4,64,4,16,2,8,2,32,16,0
2,0,0,0,4,0,0,0,2,2,2,2,4,4,8,8,3,32.000000,2,0,0,2,4,0,0,0,4,4,0,0,8,16,0,0,0
0,0,0,0,0,2,0,0,2,4,2,0,16,16,4,2,3,32.000000,2,0,0,0,2,0,0,0,2,4,2,0,32,4,2,0,0
